Όνομα,Latitude,Longitude,Κατηγορία,Κόστος,Ωράριο,Περιγραφή
Crowbar,59.9147,10.7492,Bars,~105–140 NOK η πίντα,15:00–01:00 (Παρ/Σάβ έως 03:00),"Η πιο σοβαρή λίστα βαρελίσιων στο Όσλο: 20+ βρύσες με νορβηγική και διεθνή craft, plus δικιά τους μικροζυθοποιία στο υπόγειο. — ΚΟΣΤΟΣ: ~105–140 NOK η πίντα — ΩΡΑΡΙΟ: 15:00–01:00 (Παρ/Σάβ έως 03:00) — ΚΟΛΠΟ: Ζήτα μικρό ποτήρι (0,3l) για να δοκιμάσεις πολλά χωρίς να χρεοκοπήσεις. — ★ Διαμάντι"
RØØR,59.9236,10.7595,Bars,~105–130 NOK η πίντα,15:00–01:00,"Το πιο άνετο craft beer bar της Grünerløkka: πολυθρόνες, σκούρο ξύλο, 12 νορβηγικές βρύσες και φαγητό που στέκει. — ΚΟΣΤΟΣ: ~105–130 NOK η πίντα — ΩΡΑΡΙΟ: 15:00–01:00 — ΚΟΛΠΟ: Έχει happy hour νωρίς το απόγευμα — ρώτα, δεν το διαφημίζουν. — ★ Διαμάντι"
Himkok,59.9155,10.7527,Bars,~170–220 NOK το κοκτέιλ,18:00–01:00 (Παρ/Σάβ έως 03:00),"Στα World's 50 Best Bars. Αποστακτήριο και μπαρ μαζί, πίσω από μια ανώνυμη πόρτα χωρίς ταμπέλα — φτιάχνουν το δικό τους τζιν και ακουαβίτ επιτόπου. — ΚΟΣΤΟΣ: ~170–220 NOK το κοκτέιλ — ΩΡΑΡΙΟ: 18:00–01:00 (Παρ/Σάβ έως 03:00) — ΚΟΛΠΟ: Δεν έχει πινακίδα: ψάξε τη μεταλλική πόρτα στο Storgata 27 και χτύπα. Μία φορά αξίζει. — ★ Διαμάντι"
Torggata Botaniske,59.9153,10.7502,Bars,~160–200 NOK το κοκτέιλ,16:00–01:00,"Μπαρ-θερμοκήπιο γεμάτο φυτά, με κοκτέιλ φτιαγμένα από βότανα και λουλούδια. Ατμόσφαιρα ζούγκλας μέσα στο κέντρο. — ΚΟΣΤΟΣ: ~160–200 NOK το κοκτέιλ — ΩΡΑΡΙΟ: 16:00–01:00 — ΚΟΛΠΟ: Το πιο ωραίο μπαρ για ένα ήσυχο πρώτο ποτό."
Schouskjelleren,59.9193,10.758,Bars,~95–125 NOK,16:00–01:00,"Μικροζυθοποιία μέσα στο θολωτό κελάρι μιας ζυθοποιίας του 1800. Πέτρινες καμάρες, χαμηλός φωτισμός, δικές τους μπύρες που δεν βρίσκεις αλλού. — ΚΟΣΤΟΣ: ~95–125 NOK — ΩΡΑΡΙΟ: 16:00–01:00 — ΚΟΛΠΟ: Από τα φθηνότερα craft του Όσλο και σίγουρα το πιο ατμοσφαιρικό. — ★ Διαμάντι"
Territoriet (κρασί),59.9245,10.7592,Bars,~120–190 NOK το ποτήρι,16:00–01:00,"400 κρασιά σε ποτήρι — από τα μεγαλύτερα by-the-glass μενού στην Ευρώπη. Χαλαρό, χωρίς σνομπισμό, το προσωπικό σε καθοδηγεί. — ΚΟΣΤΟΣ: ~120–190 NOK το ποτήρι — ΩΡΑΡΙΟ: 16:00–01:00 — ΚΟΛΠΟ: Για την Ελένη αν προτιμά κρασί από μπύρα. Ζήτα τους να διαλέξουν αυτοί."
Blå,59.921,10.7527,Bars,~110–150 NOK,Ποικίλει (live),"Θρυλικό club/live venue πλάι στο ποτάμι, με αυλή δίπλα στο νερό γεμάτη γκράφιτι. Τζαζ, ηλεκτρονικά, ό,τι πέσει. — ΚΟΣΤΟΣ: ~110–150 NOK — ΩΡΑΡΙΟ: Ποικίλει (live) — ΚΟΛΠΟ: Κυριακή έχει τζαζ jam session. Η αυλή το καλοκαίρι είναι φοβερή."
Gråbein,59.9195,10.766,Bars,200–300 NOK,Απόγευμα–αργά,"Μπαρ-καφενείο γειτονιάς ανάμεσα σε Tøyen και Grünerløkka. 4,7 με 285 κριτικές — αγαπημένο των ντόπιων, όχι στα τουριστικά. — ΚΟΣΤΟΣ: 200–300 NOK — ΩΡΑΡΙΟ: Απόγευμα–αργά — ΚΟΛΠΟ: Λειτουργεί και ως καφέ τη μέρα. Καλό για ήσυχο ποτό. — Πρόταση: Συνάδελφος — (Το σημείο είναι κατά προσέγγιση)"
Meyers Bar,59.9205,10.7562,Bars,100–200 NOK,Απόγευμα–αργά,"Κοκτέιλ μπαρ στην καρδιά της Grünerløkka (Thorvald Meyers gate 25), από τα φθηνότερα της λίστας. — ΚΟΣΤΟΣ: 100–200 NOK — ΩΡΑΡΙΟ: Απόγευμα–αργά — ΚΟΛΠΟ: Στον ίδιο δρόμο με το Nedre Løkka — τα κάνετε και τα δύο σε μία βραδιά. — Πρόταση: Συνάδελφος"
Oslo Mekaniske Verksted,59.9124,10.7638,Bars,100–200 NOK,Απόγευμα–αργά,"Μπαρ σε παλιό μηχανουργείο στο Tøyenbekken, με αυλή και μηδέν διακόσμηση-για-τουρίστες. 2.002 κριτικές — θεσμός της σκηνής του Grønland. — ΚΟΣΤΟΣ: 100–200 NOK — ΩΡΑΡΙΟ: Απόγευμα–αργά — ΚΟΛΠΟ: Από τα πιο αυθεντικά μπαρ του Όσλο. Η αυλή το καλοκαίρι γεμίζει. — ★ Διαμάντι — Πρόταση: Συνάδελφος"
