Όνομα,Latitude,Longitude,Κατηγορία,Κόστος,Ωράριο,Περιγραφή
Vippa street food,59.9007,10.7358,Φαγητό,~120–250 NOK το πιάτο,Τρί–Κυρ 11:00–22:00 (Δευτέρα κλειστά),"Παλιά αποθήκη λιμανιού που έγινε street-food αγορά με κουζίνες από πρόσφυγες και μετανάστες: συριακό, ερυθραϊκό, βιετναμέζικο, βενεζουελάνικο. Το φθηνότερο αξιοπρεπές φαγητό της πόλης, με θέα στο φιόρδ. — ΚΟΣΤΟΣ: ~120–250 NOK το πιάτο — ΩΡΑΡΙΟ: Τρί–Κυρ 11:00–22:00 (Δευτέρα κλειστά) — ΚΟΛΠΟ: Το καλύτερο value-for-money φαγητό στο Όσλο. Πήγαινε νωρίς, γεμίζει. — ★ Διαμάντι"
Αγορά Mathallen,59.9226,10.7511,Φαγητό,~150–300 NOK,Τρί–Παρ 10:00–20:00 · Σάβ 10:00–18:00 · Κυρ 11:00–17:00 · Δευτέρα κλειστά,"Σκεπαστή αγορά σε παλιό χυτήριο, με 30 πάγκους: νορβηγικά τυριά, καπνιστός σολομός, ταπας, ζυμωτά. Μπορείς και να ψωνίσεις πρώτες ύλες για το σπίτι. — ΚΟΣΤΟΣ: ~150–300 NOK — ΩΡΑΡΙΟ: Τρί–Παρ 10:00–20:00 · Σάβ 10:00–18:00 · Κυρ 11:00–17:00 · Δευτέρα κλειστά — ΚΟΛΠΟ: Το lunch special (11:00–15:00) πέφτει στα ~150 NOK. Δευτέρα κλειστά — προσοχή. — ★ Διαμάντι"
Illegal Burger,59.9224,10.7573,Φαγητό,~180–220 NOK,15:00–23:00 (Παρ/Σάβ έως 03:00),"Το μπέργκερ που ξεκίνησε το smash-burger τρελό στο Όσλο, μικρό μαγαζί στην καρδιά της Grünerløkka. Μενού σε μαυροπίνακα, ουρά στην πόρτα, κρέας που στάζει. — ΚΟΣΤΟΣ: ~180–220 NOK — ΩΡΑΡΙΟ: 15:00–23:00 (Παρ/Σάβ έως 03:00) — ΚΟΛΠΟ: Ανοίγει 15:00. Το «Illegal» με μπέικον και τσένταρ είναι το κλασικό. — ★ Διαμάντι"
Punjab Tandoori,59.9124,10.7627,Φαγητό,~150–190 NOK,11:00–23:00,"Θεσμός στο Grønland εδώ και 30+ χρόνια: πλαστικά τραπέζια, φώτα φθορίου, μηδέν διακόσμηση — και το φθηνότερο σωστό γεύμα του Όσλο. Ταξιτζήδες, φοιτητές και οικογένειες, μηδέν τουρίστες. — ΚΟΣΤΟΣ: ~150–190 NOK — ΩΡΑΡΙΟ: 11:00–23:00 — ΚΟΛΠΟ: Chicken tikka masala + naan ~180 NOK, χορταίνεις για τη μέρα. Μετρητά ή κάρτα, μιλάνε λίγα αγγλικά. — ★ Διαμάντι"
Syverkiosken (pølse),59.9285,10.7534,Φαγητό,~60–90 NOK,Δευ–Παρ 10:00–18:00 · Σάβ 11:00–17:00,"Το τελευταίο αυθεντικό κιόσκι λουκάνικου του Όσλο, λειτουργεί από το 1979 και είναι κηρυγμένο διατηρητέο. Σου δίνουν το pølse τυλιγμένο σε lompe (πατατόπιτα) με κρεμμύδι και ρέμουλα, όπως 50 χρόνια πριν. — ΚΟΣΤΟΣ: ~60–90 NOK — ΩΡΑΡΙΟ: Δευ–Παρ 10:00–18:00 · Σάβ 11:00–17:00 — ΚΟΛΠΟ: Το πιο νορβηγικό πράγμα που θα φας, με 70 κορώνες. Ζήτα ""pølse med lompe"". — ★ Διαμάντι"
Fiskeriet (ψαρικά),59.9146,10.7476,Φαγητό,~180–280 NOK,11:00–21:00,"Ψαράδικο και εστιατόριο μαζί, στην πλατεία Youngstorget. Η ψαρόσουπα τους και το fish & chips με μπακαλιάρο σκράι είναι από τα καλύτερα στην πόλη σε λογική τιμή. — ΚΟΣΤΟΣ: ~180–280 NOK — ΩΡΑΡΙΟ: 11:00–21:00 — ΚΟΛΠΟ: Η fiskesuppe (~185 NOK) με ψωμί είναι πλήρες γεύμα."
Hitchhiker,59.9228,10.7507,Φαγητό,~150–250 NOK,16:00–22:00,"Ασιατικό street food σε μικρά πιάτα, δίπλα στο Mathallen. Bao buns, ταϊλανδέζικα, κορεάτικα — φτιαγμένα από κόσμο που ξέρει. — ΚΟΣΤΟΣ: ~150–250 NOK — ΩΡΑΡΙΟ: 16:00–22:00 — ΚΟΛΠΟ: Παράγγειλε 2–3 μικρά πιάτα να τα μοιραστείτε αντί για κυρίως."
Smalhans,59.931,10.7386,Φαγητό,~295 NOK το «dagens»,Τρί–Σάβ 16:00–23:00,"Μπιστρό γειτονιάς στο St. Hanshaugen, 8 λεπτά με τα πόδια από εσάς. Σερβίρει ένα «πιάτο ημέρας» σε σταθερή τιμή — σύγχρονη νορβηγική κουζίνα χωρίς τα νούμερα του κέντρου. — ΚΟΣΤΟΣ: ~295 NOK το «dagens» — ΩΡΑΡΙΟ: Τρί–Σάβ 16:00–23:00 — ΚΟΛΠΟ: Η καλύτερη επιλογή αν θέλετε ΕΝΑ σωστό δείπνο έξω. Θέλει κράτηση."
Freddy Fuego,59.9163,10.7455,Φαγητό,~140–180 NOK,11:00–21:00,"Μεγάλα, γεμάτα burritos σε τιμή που στο Όσλο θεωρείται δώρο. Γρήγορο, χορταστικό, κοντά στο κέντρο. — ΚΟΣΤΟΣ: ~140–180 NOK — ΩΡΑΡΙΟ: 11:00–21:00 — ΚΟΛΠΟ: Λύση για μέρα που γυρνάτε πεινασμένοι και δεν θέλετε να μαγειρέψετε."
Østbanehallen,59.9109,10.7503,Φαγητό,~150–300 NOK,07:00–23:00,"Η παλιά αίθουσα του κεντρικού σταθμού, γεμάτη με μπαρ και φαγητά. Χρήσιμο γιατί είναι ανοιχτό όταν όλα τα άλλα έχουν κλείσει. — ΚΟΣΤΟΣ: ~150–300 NOK — ΩΡΑΡΙΟ: 07:00–23:00 — ΚΟΛΠΟ: Πρακτικό stop πριν/μετά το τρένο του αεροδρομίου."
