Όνομα,Latitude,Longitude,Κατηγορία,Κόστος,Ωράριο,Περιγραφή
Μουσείο Μουνκ,59.906,10.7554,Μουσεία,280 NOK · 200 NOK μετά τις 18:00,Κυρ–Τρί 10:00–18:00 · Τετ–Σάβ 10:00–21:00,"13 όροφοι αφιερωμένοι στον Έντβαρντ Μουνκ, με δύο από τις εκδοχές της «Κραυγής» να εναλλάσσονται κάθε μισή ώρα σε ειδικό θάλαμο. Στον 13ο όροφο μπαρ με θέα σε όλο το φιόρδ. — ΚΟΣΤΟΣ: 280 NOK · 200 NOK μετά τις 18:00 — ΩΡΑΡΙΟ: Κυρ–Τρί 10:00–18:00 · Τετ–Σάβ 10:00–21:00 — ΚΟΛΠΟ: ΜΠΕΣ ΜΕΤΑ ΤΙΣ 18:00 → 200 αντί για 280 NOK, και χωρίς ουρές. Τετ–Σάβ μόνο. — ★ Διαμάντι"
Εθνικό Μουσείο,59.9124,10.7288,Μουσεία,~200 NOK (κάτω των 18 δωρεάν),Τρί–Κυρ 10:00–20:00 · Δευτέρα κλειστά,"Το μεγαλύτερο μουσείο τέχνης της Σκανδιναβίας, άνοιξε το 2022. Εδώ κρέμεται η πιο διάσημη «Κραυγή» (1893), μαζί με Πικάσο, Μονέ και νορβηγικά τοπία. — ΚΟΣΤΟΣ: ~200 NOK (κάτω των 18 δωρεάν) — ΩΡΑΡΙΟ: Τρί–Κυρ 10:00–20:00 · Δευτέρα κλειστά — ΚΟΛΠΟ: ΚΛΕΙΣΤΑ ΤΗ ΔΕΥΤΕΡΑ. Η ταράτσα «Light Hall» είναι δωρεάν προσβάσιμη. — ★ Διαμάντι"
Μουσείο Fram,59.9034,10.6987,Μουσεία,~160 NOK · combo με Kon-Tiki −40,10:00–18:00,"Μπαίνεις ΜΕΣΑ στο πραγματικό πλοίο Fram, που πήγε πιο βόρεια και πιο νότια από κάθε άλλο ξύλινο σκάφος στην ιστορία. Περπατάς στις καμπίνες των Ναnsen και Amundsen όπως τις άφησαν. — ΚΟΣΤΟΣ: ~160 NOK · combo με Kon-Tiki −40 — ΩΡΑΡΙΟ: 10:00–18:00 — ΚΟΛΠΟ: Το καλύτερο μουσείο του Bygdøy με διαφορά. Έχει και προσομοιωτή πολικού ψύχους. — ★ Διαμάντι"
Μουσείο Κον-Τίκι,59.9029,10.6976,Μουσεία,~180 NOK,10:00–18:00,Η αυθεντική σχεδία με την οποία ο Thor Heyerdahl διέσχισε τον Ειρηνικό το 1947 για να αποδείξει μια θεωρία που όλοι έλεγαν τρελή. Και το παπυρένιο Ra II δίπλα. — ΚΟΣΤΟΣ: ~180 NOK — ΩΡΑΡΙΟ: 10:00–18:00 — ΚΟΛΠΟ: 50 μέτρα από το Fram — τα κάνεις μαζί. Το combo γλιτώνει ~40 NOK.
Λαογραφικό Μουσείο,59.9068,10.6846,Μουσεία,~220 NOK,10:00–17:00,"Υπαίθριο μουσείο με 160 αυθεντικά κτίρια μεταφερμένα από όλη τη Νορβηγία, με κορυφαίο την ξύλινη εκκλησία Gol του 1200. Το καλοκαίρι υπάρχει προσωπικό με παραδοσιακές στολές και ζωντανά ζώα. — ΚΟΣΤΟΣ: ~220 NOK — ΩΡΑΡΙΟ: 10:00–17:00 — ΚΟΛΠΟ: Η ξύλινη εκκλησία (stavkirke) είναι ο λόγος που έρχεσαι. Θέλει 2–3 ώρες. — ★ Διαμάντι"
Μουσείο Άστρουπ Φέρνλεϊ,59.9077,10.7205,Μουσεία,~150 NOK · γλυπτόκηπος δωρεάν,Τρί–Κυρ 12:00–17:00 · Δευτέρα κλειστά,"Μοντέρνα τέχνη σε κτίριο του Renzo Piano με σκεπή σαν πανί καραβιού. Μέσα Koons, Hirst, Cattelan. Ο γλυπτόκηπος γύρω είναι ελεύθερος. — ΚΟΣΤΟΣ: ~150 NOK · γλυπτόκηπος δωρεάν — ΩΡΑΡΙΟ: Τρί–Κυρ 12:00–17:00 · Δευτέρα κλειστά — ΚΟΛΠΟ: Αν δεν γουστάρεις σύγχρονη τέχνη, κάνε μόνο τον δωρεάν κήπο και την παραλία δίπλα."
Ιστορικό Μουσείο,59.9166,10.735,Μουσεία,~120 NOK,Τρί–Κυρ 10:00–17:00 · Δευτέρα κλειστά,"ΕΔΩ είναι οι Βίκινγκς όσο το Μουσείο Βικινγκικής Εποχής είναι κλειστό: χρυσά κοσμήματα, το κράνος του Gjermundbu (το ΜΟΝΑΔΙΚΟ πλήρες κράνος Βίκινγκ στον κόσμο) και μια αιγυπτιακή συλλογή με μούμιες. — ΚΟΣΤΟΣ: ~120 NOK — ΩΡΑΡΙΟ: Τρί–Κυρ 10:00–17:00 · Δευτέρα κλειστά — ΚΟΛΠΟ: ΣΗΜΑΝΤΙΚΟ: Το Μουσείο Πλοίων Βίκινγκ στο Bygdøy είναι ΚΛΕΙΣΤΟ ως το 2027. Εδώ πας. — ★ Διαμάντι"
Κέντρο Νόμπελ Ειρήνης,59.9114,10.7305,Μουσεία,~150 NOK,Τρί–Κυρ 10:00–18:00,"Διαδραστική έκθεση για όλους τους νικητές του Νόμπελ Ειρήνης, σε παλιό σταθμό τρένου στο λιμάνι. — ΚΟΣΤΟΣ: ~150 NOK — ΩΡΑΡΙΟ: Τρί–Κυρ 10:00–18:00 — ΚΟΛΠΟ: Καλό μόνο αν βρέχει και έχεις Oslo Pass. Αλλιώς προσπέρασέ το."
Μουσείο Βίγκελαντ,59.9243,10.7014,Μουσεία,~120 NOK,Τρί–Κυρ 12:00–16:00,"Το εργαστήρι όπου έζησε και δούλεψε ο Vigeland, με τα γύψινα πρωτότυπα όλων των γλυπτών του πάρκου. Σχεδόν άδειο από κόσμο. — ΚΟΣΤΟΣ: ~120 NOK — ΩΡΑΡΙΟ: Τρί–Κυρ 12:00–16:00 — ΚΟΛΠΟ: 200 μέτρα από το πάρκο. Μπες μόνο αν σε τράβηξαν πραγματικά τα γλυπτά."
Μουσείο Kistefos & «The Twist»,60.247,10.357,Μουσεία,200 NOK + 500 NOK λεωφορείο,24 Αυγ–11 Οκτ: Τρί–Παρ 11:00–17:00 · Σαβ/Κυρ 10:00–17:00 · ΔΕΥΤΕΡΑ ΚΛΕΙΣΤΑ,"Το «The Twist» — γκαλερί-γέφυρα που στρίβει 90 μοίρες πάνω από ποτάμι, από τα πιο φωτογραφημένα κτίρια της Σκανδιναβίας. Γύρω, πάρκο γλυπτικής με Anish Kapoor, Olafur Eliasson, Fernando Botero, μέσα σε δάσος και καταρράκτες. — ΚΟΣΤΟΣ: 200 NOK + 500 NOK λεωφορείο — ΩΡΑΡΙΟ: 24 Αυγ–11 Οκτ: Τρί–Παρ 11:00–17:00 · Σαβ/Κυρ 10:00–17:00 · ΔΕΥΤΕΡΑ ΚΛΕΙΣΤΑ — ΚΟΛΠΟ: ΔΕΝ ΕΙΝΑΙ ΣΤΟ ΟΣΛΟ — είναι στο Jevnaker, 1,5 ώρα βόρεια. Λεωφορείο VY66 από τον σταθμό λεωφορείων, 250 NOK η διαδρομή, ΜΟΝΟ Πέμ–Κυρ και ΜΟΝΟ με προκράτηση στο vybuss.no. Αναχώρηση 10:15, επιστροφή 16:50. — ★ Διαμάντι — Πρόταση: Συνάδελφος"
