Όνομα,Latitude,Longitude,Κατηγορία,Κόστος,Ωράριο,Περιγραφή
Όπερα του Όσλο,59.9075,10.7533,Αξιοθέατα,Δωρεάν,Στέγη: πάντα ανοιχτή · Φουαγιέ 10:00–21:00,"Το κτίριο-σύμβολο του Όσλο: ανεβαίνεις περπατώντας πάνω στη σκεπή του από μάρμαρο Carrara, χωρίς εισιτήριο, και βλέπεις όλο το φιόρδ. Το βράδυ φωτίζεται σαν παγόβουνο. — ΚΟΣΤΟΣ: Δωρεάν — ΩΡΑΡΙΟ: Στέγη: πάντα ανοιχτή · Φουαγιέ 10:00–21:00 — ΚΟΛΠΟ: Πήγαινε ~1 ώρα πριν τη δύση. Η σκεπή γλιστράει με βροχή — παπούτσια με γρίπη. — ★ Διαμάντι"
Κάστρο Άκερσχους,59.9078,10.7365,Αξιοθέατα,Δωρεάν (κάστρο) · 120 NOK το μουσείο,Περίβολος 06:00–21:00,Μεσαιωνικό φρούριο του 1290 πάνω από το λιμάνι. Ο περίβολος με τα κανόνια και τη θέα στο φιόρδ είναι δωρεάν — από τα ωραιότερα δωρεάν σημεία της πόλης. — ΚΟΣΤΟΣ: Δωρεάν (κάστρο) · 120 NOK το μουσείο — ΩΡΑΡΙΟ: Περίβολος 06:00–21:00 — ΚΟΛΠΟ: Ιδανικό για ηλιοβασίλεμα με μια μπύρα από σούπερ μάρκετ στα χορταρικά. — ★ Διαμάντι
Πάρκο Βίγκελαντ,59.9269,10.6996,Αξιοθέατα,Δωρεάν · 24/7,Πάντα ανοιχτό,212 γλυπτά γυμνών μορφών του Gustav Vigeland σε ένα τεράστιο πάρκο — το μεγαλύτερο έργο ενός μόνο γλύπτη στον κόσμο. Ο Μονόλιθος με τα 121 μπλεγμένα σώματα και ο «Θυμωμένος Μικρός» (Sinnataggen) είναι θεσμός. — ΚΟΣΤΟΣ: Δωρεάν · 24/7 — ΩΡΑΡΙΟ: Πάντα ανοιχτό — ΚΟΛΠΟ: Πριν τις 10:00 ή μετά τις 18:00 δεν έχει κόσμο. Πάρε φαγητό — τέλειο για πικνίκ. — ★ Διαμάντι
Βασιλικό Παλάτι,59.9169,10.7276,Αξιοθέατα,Πάρκο δωρεάν,Αλλαγή φρουράς κάθε μέρα 13:30,"Δεν μπαίνεις μέσα (μόνο ξεναγήσεις το καλοκαίρι), αλλά το Slottsparken γύρω είναι ανοιχτό και όμορφο, και η αλλαγή φρουράς στις 13:30 είναι δωρεάν θέαμα. — ΚΟΣΤΟΣ: Πάρκο δωρεάν — ΩΡΑΡΙΟ: Αλλαγή φρουράς κάθε μέρα 13:30 — ΚΟΛΠΟ: Δεν υπάρχουν κάγκελα — πλησιάζεις κυριολεκτικά στην πόρτα. Πολύ νορβηγικό."
Δημαρχείο,59.912,10.7336,Αξιοθέατα,Δωρεάν,09:00–16:00,Εδώ απονέμεται το Νόμπελ Ειρήνης κάθε 10 Δεκεμβρίου. Μπαίνεις δωρεάν και η κεντρική αίθουσα είναι καλυμμένη με τεράστιες τοιχογραφίες. — ΚΟΣΤΟΣ: Δωρεάν — ΩΡΑΡΙΟ: 09:00–16:00 — ΚΟΛΠΟ: 10 λεπτά αρκούν. Καλό γέμισμα αν σε πιάσει βροχή.
Πάρκο Έκεμπεργκ,59.8969,10.769,Αξιοθέατα,Δωρεάν · 24/7,Πάντα ανοιχτό,"Δάσος-πάρκο γλυπτικής πάνω από την πόλη, με έργα Dalí, Rodin, Vigeland σκορπισμένα ανάμεσα στα δέντρα. Εδώ στάθηκε ο Munch όταν «άκουσε την κραυγή της φύσης» — υπάρχει ταμπέλα στο ακριβές σημείο. — ΚΟΣΤΟΣ: Δωρεάν · 24/7 — ΩΡΑΡΙΟ: Πάντα ανοιχτό — ΚΟΛΠΟ: Τραμ 13/19 μέχρι Ekebergparken. Η ΚΑΛΥΤΕΡΗ δωρεάν θέα του Όσλο, πολύ πάνω από το Holmenkollen. — ★ Διαμάντι"
Χιονοδρομικό άλμα & Μουσείο Σκι,59.9639,10.6678,Αξιοθέατα,~185 NOK (μουσείο + πύργος),10:00–17:00 (καλοκαίρι έως 18:00),"Το θρυλικό σκι-άλμα του Όσλο. Το εισιτήριο περιλαμβάνει το αρχαιότερο μουσείο σκι στον κόσμο και ανελκυστήρα στην κορυφή του πύργου με πανοραμική θέα στο φιόρδ. — ΚΟΣΤΟΣ: ~185 NOK (μουσείο + πύργος) — ΩΡΑΡΙΟ: 10:00–17:00 (καλοκαίρι έως 18:00) — ΚΟΛΠΟ: Metro γραμμή 1 μέχρι Holmenkollen (~25′ από το κέντρο, μέσα στη ζώνη 1). Η διαδρομή του μετρό είναι μόνη της αξιοθέατο. — ★ Διαμάντι"
Συνοικία Barcode,59.9089,10.757,Αξιοθέατα,Δωρεάν,—,"12 ουρανοξύστες σε σειρά, ο καθένας από διαφορετικό αρχιτέκτονα, που μοιάζουν με barcode. Δίπλα η βιβλιοθήκη Deichman και το Munch. Το νέο, γυάλινο Όσλο. — ΚΟΣΤΟΣ: Δωρεάν — ΚΟΛΠΟ: Η Deichman Bjørvika (βιβλιοθήκη) μπαίνεις δωρεάν, έχει θέα και τουαλέτες — χρήσιμο."
Άκερ Μπρίγκε,59.9107,10.7275,Αξιοθέατα,Δωρεάν βόλτα,—,"Το ανακαινισμένο ναυπηγείο, τώρα προκυμαία με ξύλινες προβλήτες, γλυπτά και θέα. Τα εστιατόρια εδώ είναι παγίδα τουριστών — η βόλτα όμως αξίζει. — ΚΟΣΤΟΣ: Δωρεάν βόλτα — ΚΟΛΠΟ: Στο Tjuvholmen υπάρχει μικρή δωρεάν πλαζ με πλατφόρμες για βουτιά (Tjuvholmen bystrand)."
Ξύλινα σοκάκια,59.9231,10.7481,Αξιοθέατα,Δωρεάν,—,Δύο πλακόστρωτα δρομάκια με στραβά ξύλινα σπίτια του 1800 που γλίτωσαν από τις πυρκαγιές. Λες και μπήκες σε παραμύθι — και είναι 7 λεπτά με τα πόδια από το σπίτι σας. — ΚΟΣΤΟΣ: Δωρεάν — ΚΟΛΠΟ: Συνέχισε ως το νεκροταφείο Vår Frelsers όπου είναι θαμμένοι ο Munch και ο Ίψεν. — ★ Διαμάντι
